Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Jouster 21 (Westerly),Fin w/transom hung rudder,Fractional Sloop,21.00 ft / 6.40 m,18.25 ft / 5.56 m,210.00 ft² / 19.51 m²,7.50 ft / 2.29 m,"2,200.00 lb / 998 kg",950.00 lb / 431 kg,3.50 ft / 1.07 m,FG,Iron,1970,1975,146,Westerly Marine Ltd. (UK),Laurent Giles,NA,NA,NA
Carter 2 Ton,Fin with rudder on skeg,Masthead Sloop,40.92 ft / 12.47 m,34.92 ft / 10.64 m,NA,12.25 ft / 3.73 m,"18,630.00 lb / 8,450 kg","8,600.00 lb / 3,901 kg",6.92 ft / 2.11 m,FG,Lead,1980,NA,12,NA,Richard Carter,NA,NA,NA
Alberg 34,Long Keel,Masthead Sloop,34.08 ft / 10.39 m,25.50 ft / 7.77 m,567.00 ft² / 52.68 m²,10.08 ft / 3.07 m,"14,000.00 lb / 6,350 kg","6,500.00 lb / 2,948 kg",5.25 ft / 1.60 m,FG,NA,1984,NA,4,Nye Yachts (CAN),Carl Alberg,NA,NA,NA
Pembroke 26 (Westerly),Fin w/transom hung rudder,Masthead Sloop,26.00 ft / 7.92 m,21.33 ft / 6.50 m,210.00 ft² / 19.51 m²,8.32 ft / 2.54 m,"6,578.00 lb / 2,984 kg","2,480.00 lb / 1,125 kg",4.25 ft / 1.30 m,FG,NA,1976,1979,97,Westerly Marine Ltd. (UK),Laurent Giles,NA,NA,NA
F-31 Sport Cruiser,Trimaran Dbrd.,Fractional Sloop,30.83 ft / 9.40 m,30.00 ft / 9.14 m,599.00 ft² / 55.65 m²,22.42 ft / 6.83 m,"3,630.00 lb / 1,647 kg",NA,5.50 ft / 1.68 m,FG,NA,1992,NA,NA,Pearson Tillotson(Corsair M.),Ian Farrier,1.67 ft / 0.51 m,NA,NA
Marea 39,Fin w/spade rudder,Masthead Sloop,39.33 ft / 11.99 m,33.83 ft / 10.31 m,715.00 ft² / 66.43 m²,12.75 ft / 3.89 m,"21,164.00 lb / 9,600 kg","7,800.00 lb / 3,538 kg",6.90 ft / 2.10 m,FG,NA,1984,NA,50,NA,Vallicelli,NA,NA,NA
J/92,Fin w/bulb & spade rudder,Fractional Sloop,30.00 ft / 9.14 m,25.80 ft / 7.86 m,470.00 ft² / 43.66 m²,10.00 ft / 3.05 m,"5,500.00 lb / 2,495 kg","2,275.00 lb / 1,032 kg",5.90 ft / 1.80 m,FG,NA,1992,2003,180,J Boats Tillotson Pearson (USA),Rod Johnstone,NA,NA,NA
F-27 Sport Cruiser,Trimaran Dbrd.,Fractional Sloop,27.08 ft / 8.25 m,26.25 ft / 8.00 m,446.00 ft² / 41.43 m²,19.08 ft / 5.82 m,"2,600.00 lb / 1,179 kg",NA,4.92 ft / 1.50 m,FG,NA,1986,NA,450,Corsair Marine (USA),Ian Farrier,1.17 ft / 0.36 m,NA,NA
Kaufman 46,Fin w/spade rudder,Masthead Sloop,46.00 ft / 14.02 m,37.00 ft / 11.28 m,993.00 ft² / 92.25 m²,13.33 ft / 4.06 m,"21,000.00 lb / 9,525 kg","12,000.00 lb / 5,443 kg",8.25 ft / 2.51 m,FG,NA,1981,NA,NA,Snug Harbor Boat Works (USA),Scott Kaufman,NA,NA,NA
F-24 Sport Cruiser,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),24.17 ft / 7.37 m,23.58 ft / 7.19 m,401.00 ft² / 37.25 m²,17.92 ft / 5.46 m,"1,800.00 lb / 816 kg",NA,4.67 ft / 1.42 m,FG /Fm. core,NA,1991,1994,NA,Corsair Marine (USA),Ian Farrier,1.00 ft / 0.30 m,NA,NA
Cape Dory 32,Long Keel,Masthead Sloop,32.16 ft / 9.80 m,24.17 ft / 7.37 m,509.00 ft² / 47.29 m²,9.92 ft / 3.02 m,"11,750.00 lb / 5,330 kg","4,700.00 lb / 2,132 kg",4.92 ft / 1.50 m,FG,NA,1986,1988,11,Cape Dory Yachts (USA),Carl Alberg,NA,NA,NA
Gulf Coast 21,Swing Keel,Masthead Sloop,20.50 ft / 6.25 m,17.20 ft / 5.24 m,163.00 ft² / 15.14 m²,7.33 ft / 2.23 m,"1,600.00 lb / 726 kg",550.00 lb / 249 kg,4.00 ft / 1.22 m,FG,NA,1972,NA,NA,Gulf Coast Sailboats (USA),Martin Bludworth,0.82 ft / 0.25 m,NA,NA
Hylas 42 Sd,Fin w/spade rudder,Masthead Sloop,42.08 ft / 12.83 m,33.50 ft / 10.21 m,826.00 ft² / 76.74 m²,13.00 ft / 3.96 m,"17,600.00 lb / 7,983 kg","8,800.00 lb / 3,992 kg",6.20 ft / 1.89 m,FG,NA,1985,NA,NA,Queen Long Matire Co. Ltd.,German Frers,NA,NA,NA
Swan 651,Fin with rudder on skeg,Masthead Sloop,65.68 ft / 20.02 m,55.08 ft / 16.79 m,"2,088.00 ft² / 193.98 m²",17.50 ft / 5.33 m,"75,500.00 lb / 34,246 kg","31,700.00 lb / 14,379 kg",11.50 ft / 3.51 m,FG,Lead,1982,1991,19,Nautor,German Frers,NA,NA,NA
Swan 59,Fin w/spade rudder,Masthead Sloop,58.67 ft / 17.88 m,48.15 ft / 14.68 m,NA,16.40 ft / 5.00 m,"62,400.00 lb / 28,304 kg","22,800.00 lb / 10,342 kg",11.18 ft / 3.41 m,FG,Lead,1984,1990,21,Nautor,German Frers,NA,NA,NA
Newport 212,Swing Keel,Fractional Sloop,21.16 ft / 6.45 m,19.08 ft / 5.82 m,182.00 ft² / 16.91 m²,7.67 ft / 2.34 m,"1,500.00 lb / 680 kg",400.00 lb / 181 kg,5.00 ft / 1.52 m,FG,NA,1972,1976,NA,Newport Boats (USA),Harry R. Sindle,0.83 ft / 0.25 m,NA,NA
Tripp 33,Lifting Keel,Fractional Sloop,33.00 ft / 10.06 m,28.00 ft / 8.53 m,540.00 ft² / 50.17 m²,10.33 ft / 3.15 m,"6,100.00 lb / 2,767 kg","2,700.00 lb / 1,225 kg",7.00 ft / 2.13 m,FG,Lead,1992,NA,23,Carroll Marine (USAe 12),Bill Tripp III,4.67 ft / 1.42 m,NA,NA
Slocum 43,Fin with rudder on skeg,Cutter,42.50 ft / 12.95 m,35.83 ft / 10.92 m,810.00 ft² / 75.25 m²,12.92 ft / 3.94 m,"28,104.00 lb / 12,748 kg","9,000.00 lb / 4,082 kg",6.30 ft / 1.92 m,FG,NA,1981,1990,60,Cruising Yachts Int./Formosa,Stan Hundtingford,NA,NA,NA
Com-Pac 16,Fin w/transom hung rudder,Fractional Sloop,16.00 ft / 4.88 m,14.00 ft / 4.27 m,115.00 ft² / 10.68 m²,6.00 ft / 1.83 m,"1,100.00 lb / 499 kg",450.00 lb / 204 kg,1.50 ft / 0.46 m,FG,NA,1972,NA,NA,Com-Pac Yachts (USA),Clark Mills,NA,NA,NA
Com-Pac 16 Mk 2,Keel/Cbrd.,Fractional Sloop,16.92 ft / 5.16 m,14.00 ft / 4.27 m,100.00 ft² / 9.29 m²,6.00 ft / 1.83 m,"1,100.00 lb / 499 kg",450.00 lb / 204 kg,3.33 ft / 1.01 m,FG,NA,1975,NA,NA,Com-Pac Yachts (USA),Clark Mills,1.50 ft / 0.46 m,NA,NA
Flying Fifteen,Fin Keel,Fractional Sloop,20.00 ft / 6.10 m,15.00 ft / 4.57 m,142.00 ft² / 13.19 m²,7.00 ft / 2.13 m,725.00 lb / 329 kg,372.00 lb / 169 kg,2.50 ft / 0.76 m,FG or Wood,NA,1948,NA,4000,Various,Uffa Fox,NA,NA,NA
Rhodes 19,Fin w/transom hung rudder,Fractional Sloop,19.17 ft / 5.84 m,17.75 ft / 5.41 m,175.00 ft² / 16.26 m²,7.00 ft / 2.13 m,"1,355.00 lb / 615 kg",415.00 lb / 188 kg,3.25 ft / 0.99 m,FG,Iron,1959,NA,3200,Stuart Marine; O'Day (USA),Philip Rhodes,NA,NA,NA
Victoria 18,Long Keel,Fractional Sloop,18.50 ft / 5.64 m,12.83 ft / 3.91 m,134.00 ft² / 12.45 m²,5.50 ft / 1.68 m,"1,200.00 lb / 544 kg",550.00 lb / 249 kg,2.00 ft / 0.61 m,FG,NA,1977,1983,600,"Victoria Yachts, Inc. (USA)",G. William McVay,NA,NA,NA
Ds-20,Swing Keel,Fractional Sloop,20.42 ft / 6.22 m,18.07 ft / 5.51 m,170.00 ft² / 15.79 m²,7.58 ft / 2.31 m,"1,850.00 lb / 839 kg",650.00 lb / 295 kg,4.00 ft / 1.22 m,FG,NA,1972,1983,NA,Schwill Yachts Inc. (CAN),Diller & Schwill,1.83 ft / 0.56 m,NA,NA
Luders 21,Fin Keel w/bulb,Fractional Sloop,21.25 ft / 6.48 m,16.00 ft / 4.88 m,139.00 ft² / 12.91 m²,5.58 ft / 1.70 m,"1,500.00 lb / 680 kg",435.00 lb / 197 kg,3.00 ft / 0.91 m,"FG hull, Wood Deck",NA,1967,NA,NA,Ron Rawson Inc./ American Plastics Inc. (USA),A. E. Luders,NA,NA,NA
Aquarius 21,Keel/Cbrd.,Fractional Sloop,21.00 ft / 6.40 m,18.25 ft / 5.56 m,163.00 ft² / 15.14 m²,7.82 ft / 2.38 m,"1,900.00 lb / 862 kg",665.00 lb / 302 kg,4.50 ft / 1.37 m,FG,NA,1969,1977,NA,Coastal Recreation Inc. (USA),Peter Barrett,1.00 ft / 0.30 m,NA,NA
Cygnus 20,Centerboard (Trunk),Fractional Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,178.00 ft² / 16.54 m²,7.00 ft / 2.13 m,600.00 lb / 272 kg,NA,2.67 ft / 0.81 m,FG,NA,1965,NA,NA,Hinterholler Ltd. /Skene Boats Ltd. (CAN),George Hinterhoeller,0.67 ft / 0.20 m,NA,NA
Sanibel 17/18,Keel/Cbrd.,Fractional Sloop,17.88 ft / 5.45 m,15.06 ft / 4.59 m,170.00 ft² / 15.79 m²,7.80 ft / 2.38 m,"1,369.00 lb / 621 kg",450.00 lb / 204 kg,4.00 ft / 1.22 m,FG,NA,1985,1988,169,International Marine (USA),Charles Ludwig,1.00 ft / 0.30 m,NA,NA
Precision 18,Keel/Cbrd.,Fractional Sloop,17.42 ft / 5.31 m,15.42 ft / 4.70 m,145.00 ft² / 13.47 m²,7.42 ft / 2.26 m,"1,100.00 lb / 499 kg",350.00 lb / 159 kg,4.25 ft / 1.30 m,FG,Lead,1984,2019,500,Precision Boat Works (USA),Jim Taylor,1.50 ft / 0.46 m,NA,NA
Gulf Coast 20,Swing Keel,Fractional Sloop,19.92 ft / 6.07 m,15.94 ft / 4.86 m,173.00 ft² / 16.07 m²,6.92 ft / 2.11 m,"1,400.00 lb / 635 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,NA,1967,1975,NA,Gulf Coast Sailboats (USA),Martin Bludworth,1.33 ft / 0.41 m,NA,NA
Freedom 21 Slp,Fin w/transom hung rudder,Frac. Sloop (Free standing),21.67 ft / 6.61 m,17.67 ft / 5.39 m,200.00 ft² / 18.58 m²,8.00 ft / 2.44 m,"1,800.00 lb / 816 kg",500.00 lb / 227 kg,3.80 ft / 1.16 m,FG,Lead,1982,1997,NA,"Tillotson Pearson Inc, (USA)",Gary Hoyt,NA,NA,NA
Freedom 21 Slp Sd,Fin w/transom hung rudder,Frac. Sloop (Free standing),21.67 ft / 6.61 m,17.50 ft / 5.33 m,200.00 ft² / 18.58 m²,8.00 ft / 2.44 m,"2,050.00 lb / 930 kg",NA,2.00 ft / 0.61 m,FG,NA,1982,NA,NA,"Tillotson Pearson Inc, (USA)",Gary Hoyt,NA,NA,NA
O'day 192,Keel/Cbrd.,Fractional Sloop,18.58 ft / 5.66 m,16.67 ft / 5.08 m,150.50 ft² / 13.98 m²,7.08 ft / 2.16 m,"1,400.00 lb / 635 kg",400.00 lb / 181 kg,4.17 ft / 1.27 m,FG,Lead,1984,1997,NA,Lear Siegler Marine (USA),C. Raymond Hunt,1.42 ft / 0.43 m,NA,NA
Starwind 19,Keel/Cbrd.,Fractional Sloop,18.58 ft / 5.66 m,15.58 ft / 4.75 m,152.00 ft² / 14.12 m²,7.50 ft / 2.29 m,"1,350.00 lb / 612 kg",395.00 lb / 179 kg,4.50 ft / 1.37 m,FG,NA,1982,NA,600,Wellcraft Marine/Rebel Industries (USA),Jim Taylor,1.50 ft / 0.46 m,NA,NA
Mariner 19 Cb,Centerboard (Trunk),Fractional Sloop,19.16 ft / 5.84 m,17.75 ft / 5.41 m,184.00 ft² / 17.09 m²,7.00 ft / 2.13 m,"1,430.00 lb / 649 kg",NA,4.92 ft / 1.50 m,FG,NA,1962,NA,NA,Stuart Marine; O'day (USA),Philip Rhodes,0.83 ft / 0.25 m,NA,NA
Mariner 19 Fk,Fin Keel w/bulb,Fractional Sloop,19.16 ft / 5.84 m,17.75 ft / 5.41 m,184.00 ft² / 17.09 m²,7.00 ft / 2.13 m,"1,430.00 lb / 649 kg",NA,3.30 ft / 1.01 m,FG,NA,1962,NA,NA,Stuart Marine; O'Day (USA),Philip Rhodes,NA,NA,NA
Shark 24,Fin w/transom hung rudder,Fractional Sloop,24.00 ft / 7.32 m,20.00 ft / 6.10 m,190.00 ft² / 17.65 m²,6.83 ft / 2.08 m,"2,200.00 lb / 998 kg",675.00 lb / 306 kg,3.16 ft / 0.96 m,FG,Iron,1959,NA,2500,Hinterhoeller Yachts Ltd.,George Hinterhoeller,NA,NA,NA
San Juan 21,Swing Keel,Fractional Sloop,20.50 ft / 6.25 m,17.00 ft / 5.18 m,190.00 ft² / 17.65 m²,7.00 ft / 2.13 m,"1,250.00 lb / 567 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,Lead,1970,1977,2600,Clark Boat Co. (USA),Don Clark,1.00 ft / 0.30 m,NA,NA
San Juan 21-2,Swing Keel,Fractional Sloop,20.50 ft / 6.25 m,17.00 ft / 5.18 m,193.00 ft² / 17.93 m²,7.00 ft / 2.13 m,"1,250.00 lb / 567 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,NA,1974,NA,NA,Clark Boat Co. (USA),Don Clark,0.70 ft / 0.21 m,NA,NA
Orion 19 (Sailstar),Keel/Cbrd.,Fractional Sloop,19.00 ft / 5.79 m,18.00 ft / 5.49 m,172.00 ft² / 15.98 m²,6.75 ft / 2.06 m,750.00 lb / 340 kg,NA,5.25 ft / 1.60 m,FG,NA,1962,NA,NA,Sailstar Boats (USA),Robert H. Baker,1.00 ft / 0.30 m,NA,NA
Typhoon 18 (Weekender),Long Keel,Fractional Sloop,18.50 ft / 5.64 m,13.50 ft / 4.11 m,160.00 ft² / 14.86 m²,6.29 ft / 1.92 m,"2,000.00 lb / 907 kg",900.00 lb / 408 kg,2.58 ft / 0.79 m,FG solid laminate,Lead,1967,1986,1982,Cape Dory Yachts (USA),Carl Alberg,NA,NA,NA
Wylie Wabbit 24,Fin w/spade rudder,Fractional Sloop,23.75 ft / 7.24 m,20.00 ft / 6.10 m,186.00 ft² / 17.28 m²,5.58 ft / 1.70 m,875.00 lb / 397 kg,440.00 lb / 200 kg,3.50 ft / 1.07 m,FG w/foam cored hull & deck,Lead,1982,NA,63,North Coast Yachts,Thomas Wylie,NA,NA,NA
Impulse 21,Fin w/spade rudder,Fractional Sloop,21.00 ft / 6.40 m,18.50 ft / 5.64 m,208.00 ft² / 19.32 m²,8.00 ft / 2.44 m,"1,300.00 lb / 590 kg",600.00 lb / 272 kg,3.25 ft / 0.99 m,FG,NA,1986,NA,150,Impulse Marine / Johnson Boatworks (USA),William Cook,NA,NA,NA
Balboa 20,Swing Keel,Fractional Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,174.00 ft² / 16.17 m²,7.08 ft / 2.16 m,"1,700.00 lb / 771 kg",450.00 lb / 204 kg,4.42 ft / 1.35 m,FG,NA,1967,NA,NA,"Arthur Marine/Coastal Recreation, Inc. (USA)",Lyle C. Hess/Richard Arthur,1.58 ft / 0.48 m,NA,NA
Hunter 20,Swing Keel,Fractional Sloop,19.67 ft / 6.00 m,15.50 ft / 4.72 m,169.00 ft² / 15.70 m²,7.50 ft / 2.29 m,"1,700.00 lb / 771 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,NA,1983,1984,NA,Hunter Marine (USA),Cortland Steck,1.25 ft / 0.38 m,NA,NA
Montego 20,Fin w/transom hung rudder,Fractional Sloop,19.50 ft / 5.94 m,17.75 ft / 5.41 m,189.00 ft² / 17.56 m²,7.17 ft / 2.19 m,"1,700.00 lb / 771 kg",600.00 lb / 272 kg,2.00 ft / 0.61 m,FG,NA,1976,1985,NA,Universal Marine Corp. (USA),Johannes Helsen,NA,NA,NA
Montego 19,Swing Keel,Fractional Sloop,19.50 ft / 5.94 m,17.75 ft / 5.41 m,167.00 ft² / 15.51 m²,7.17 ft / 2.19 m,"1,550.00 lb / 703 kg",NA,4.50 ft / 1.37 m,FG,Iron,1976,1985,NA,Universal Marine (USA),Johannes Helsen,1.20 ft / 0.37 m,NA,NA
Bluejacket 23 (Paceship),Fin w/spade rudder,Fractional Sloop,22.83 ft / 6.96 m,17.50 ft / 5.33 m,201.00 ft² / 18.67 m²,7.00 ft / 2.13 m,"2,000.00 lb / 907 kg",900.00 lb / 408 kg,3.75 ft / 1.14 m,FG,NA,1967,NA,NA,Paceship Yachts (CAN),Cuthbertson & Cassian,NA,NA,NA
Gazelle 22,Fin w/spade rudder,Fractional Sloop,22.25 ft / 6.78 m,17.50 ft / 5.33 m,204.00 ft² / 18.95 m²,7.25 ft / 2.21 m,"2,018.00 lb / 915 kg",NA,3.67 ft / 1.12 m,FG,Lead,1980,NA,NA,Ontario Yachts Co. Ltd. (CAN),C&C design group,NA,NA,NA
Windrose 18,Swing Keel,Fractional Sloop,18.50 ft / 5.64 m,15.83 ft / 4.82 m,151.00 ft² / 14.03 m²,7.00 ft / 2.13 m,"1,500.00 lb / 680 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,NA,1974,NA,NA,Laguna Yachts (USA),Shad Turner,1.00 ft / 0.30 m,NA,NA
Windrose 20,Keel/Cbrd.,Fractional Sloop,20.00 ft / 6.10 m,16.00 ft / 4.88 m,168.00 ft² / 15.61 m²,7.50 ft / 2.29 m,"1,650.00 lb / 748 kg",NA,4.50 ft / 1.37 m,FG,NA,1977,NA,NA,Laguna Yachts (USA),Ron Holder,1.00 ft / 0.30 m,NA,NA
Kells 23,Swing Keel,Fractional Sloop,22.92 ft / 6.99 m,18.00 ft / 5.49 m,199.00 ft² / 18.49 m²,7.58 ft / 2.31 m,"2,600.00 lb / 1,179 kg",525.00 lb / 238 kg,5.00 ft / 1.52 m,FG w/balsa cored deck,Iron,1971,1980,NA,Kells Corp. (USA),Paul A. Lindh,0.92 ft / 0.28 m,NA,NA
Venture 25,Swing Keel,Fractional Sloop,24.92 ft / 7.60 m,23.00 ft / 7.01 m,231.00 ft² / 21.46 m²,7.92 ft / 2.41 m,"2,300.00 lb / 1,043 kg",600.00 lb / 272 kg,5.00 ft / 1.52 m,FG,Iron,1974,1979,NA,MacGregor Yachts Corp. (USA),Roger Macgregor,1.50 ft / 0.46 m,NA,NA
Macgregor 25,Keel/Cbrd.,Fractional Sloop,24.92 ft / 7.60 m,23.00 ft / 7.01 m,250.00 ft² / 23.23 m²,7.92 ft / 2.41 m,"2,100.00 lb / 953 kg",625.00 lb / 283 kg,5.67 ft / 1.73 m,FG,NA,1973,1987,7000,Macgregor Yacht Corp. (USA),Roger Macgregor,1.83 ft / 0.56 m,NA,NA
Hunter 18.5,Wing Keel,Fractional Sloop,18.42 ft / 5.61 m,15.50 ft / 4.72 m,176.00 ft² / 16.35 m²,7.08 ft / 2.16 m,"1,600.00 lb / 726 kg",520.00 lb / 236 kg,2.00 ft / 0.61 m,FG,NA,1987,1993,NA,Hunter Marine (USA),Hunter Design Team,NA,NA,NA
Venture 24,Swing Keel,Fractional Sloop,24.58 ft / 7.49 m,21.33 ft / 6.50 m,240.00 ft² / 22.30 m²,7.92 ft / 2.41 m,"2,100.00 lb / 953 kg",575.00 lb / 261 kg,4.50 ft / 1.37 m,FG,Lead,1969,1971,NA,MacGregor Yachts Corp. (USA),Roger MacGregor,1.50 ft / 0.46 m,NA,NA
Venture 2-24,Swing Keel,Fractional Sloop,24.58 ft / 7.49 m,21.33 ft / 6.50 m,231.00 ft² / 21.46 m²,7.92 ft / 2.41 m,"2,100.00 lb / 953 kg",575.00 lb / 261 kg,5.00 ft / 1.52 m,FG,NA,1971,1974,NA,MacGregor Yachts Corp. (USA),Roger MacGregor,0.75 ft / 0.23 m,NA,NA
Microtonner 19,Lifting Keel,Fractional Sloop,18.04 ft / 5.50 m,16.73 ft / 5.10 m,181.00 ft² / 16.82 m²,8.00 ft / 2.44 m,"1,213.00 lb / 550 kg",397.00 lb / 180 kg,3.61 ft / 1.10 m,FG,Lead,1985,NA,NA,Mariner,Nestor Völker,NA,NA,NA
Com-Pac 19,Fin w/transom hung rudder,Masthead Sloop,19.00 ft / 5.79 m,16.33 ft / 4.98 m,145.00 ft² / 13.47 m²,7.00 ft / 2.13 m,"2,000.00 lb / 907 kg",800.00 lb / 363 kg,2.00 ft / 0.61 m,FG,NA,1979,NA,NA,Com-Pac Yachts (USA),Bob Johnson,NA,NA,NA
Com-Pac 19 Mk 2,Fin w/transom hung rudder,Masthead Sloop,20.08 ft / 6.12 m,16.33 ft / 4.98 m,196.00 ft² / 18.21 m²,7.00 ft / 2.13 m,"2,000.00 lb / 907 kg",800.00 lb / 363 kg,2.00 ft / 0.61 m,FG,NA,1979,NA,NA,Com-Pac Yachts (USA),Bob Johnson,NA,NA,NA
S-Class (Herreshoff),Fin Keel,Fractional Sloop,27.50 ft / 8.38 m,20.50 ft / 6.25 m,431.00 ft² / 40.04 m²,7.17 ft / 2.19 m,"6,750.00 lb / 3,062 kg","3,350.00 lb / 1,520 kg",4.75 ft / 1.45 m,Wood planked,Lead,1919,1941,95,Herreshoff Manufacturing Co.(USA),N. Herreshoff,NA,NA,NA
Clipper Marine 21,Swing Keel,Fractional Sloop,20.87 ft / 6.36 m,16.67 ft / 5.08 m,192.00 ft² / 17.84 m²,7.25 ft / 2.21 m,"1,800.00 lb / 816 kg",410.00 lb / 186 kg,4.33 ft / 1.32 m,FG,Iron,1971,1977,NA,Clipper Marine (USA),William Crealock,0.54 ft / 0.16 m,NA,NA
Cal 20,Fin w/transom hung rudder,Fractional Sloop,20.00 ft / 6.10 m,18.00 ft / 5.49 m,195.00 ft² / 18.12 m²,7.00 ft / 2.13 m,"1,950.00 lb / 885 kg",900.00 lb / 408 kg,3.33 ft / 1.01 m,FG,NA,1961,1975,1945,Jensen Marine (USA),C. William Lapworth,NA,NA,NA
South Coast 21,Fin Keel,Fractional Sloop,21.00 ft / 6.40 m,14.33 ft / 4.37 m,206.00 ft² / 19.14 m²,6.92 ft / 2.11 m,"2,000.00 lb / 907 kg",625.00 lb / 283 kg,3.00 ft / 0.91 m,FG,NA,1965,NA,300,South Coast Seacraft Co. (USA),Carl Alberg,NA,NA,NA
O'day 22,Keel/Cbrd.,Fractional Sloop,21.67 ft / 6.61 m,18.92 ft / 5.77 m,198.30 ft² / 18.42 m²,7.17 ft / 2.19 m,"2,183.00 lb / 990 kg",800.00 lb / 363 kg,4.25 ft / 1.30 m,FG,Lead,1972,1983,3159,O'Day Corp. (USA),C. Raymond Hunt & Assoc.,1.25 ft / 0.38 m,NA,NA
Alpa 8.25,Fin with rudder on skeg,Masthead Sloop,27.08 ft / 8.25 m,19.85 ft / 6.05 m,352.00 ft² / 32.70 m²,8.52 ft / 2.60 m,"4,850.00 lb / 2,200 kg",NA,5.25 ft / 1.60 m,FG,NA,1967,1983,NA,Alpa (ITA),NA,NA,NA,NA
Aquarius 23-2,Fin w/spade rudder,Fractional Sloop,22.67 ft / 6.91 m,21.17 ft / 6.45 m,218.00 ft² / 20.25 m²,7.92 ft / 2.41 m,"2,580.00 lb / 1,170 kg",NA,3.70 ft / 1.13 m,FG w/balsa cored deck,NA,1970,1977,NA,Coastal Recreation Inc. (USA),Peter Barrett,NA,NA,NA
Aquarius 23,Swing Keel,Fractional Sloop,22.67 ft / 6.91 m,21.17 ft / 6.45 m,218.00 ft² / 20.25 m²,7.92 ft / 2.41 m,"2,280.00 lb / 1,034 kg",815.00 lb / 370 kg,4.58 ft / 1.40 m,FG w/balsa cored deck,Lead,1969,1976,NA,Coastal Recreation Inc. (USA),Peter Barrett / Stan Miller,1.08 ft / 0.33 m,NA,NA
Windrose 24,Swing Keel,Fractional Sloop,24.00 ft / 7.32 m,21.42 ft / 6.53 m,222.00 ft² / 20.62 m²,7.82 ft / 2.38 m,"2,400.00 lb / 1,089 kg",700.00 lb / 318 kg,5.08 ft / 1.55 m,FG,NA,1974,1983,NA,Laguna Yachts (USA),Shad Truner,1.50 ft / 0.46 m,NA,NA
Venture Of Newport 23,Swing Keel,Cutter,22.58 ft / 6.88 m,19.50 ft / 5.94 m,195.00 ft² / 18.12 m²,7.17 ft / 2.19 m,"2,000.00 lb / 907 kg",600.00 lb / 272 kg,5.50 ft / 1.68 m,FG,Iron,1973,1984,NA,MacGregor Yachts Corp. (USA),Roger MacGregor,1.50 ft / 0.46 m,NA,NA
Sr 21,Lifting Keel,Fractional Sloop,21.08 ft / 6.43 m,18.00 ft / 5.49 m,204.00 ft² / 18.95 m²,8.00 ft / 2.44 m,"1,380.00 lb / 626 kg",439.00 lb / 199 kg,4.50 ft / 1.37 m,FG,NA,1992,NA,NA,C&C,Glenn Henderson,0.92 ft / 0.28 m,NA,NA
Mystic Mini-Ton,Fin w/spade rudder,Fractional Sloop,21.50 ft / 6.55 m,17.50 ft / 5.33 m,213.00 ft² / 19.79 m²,8.50 ft / 2.59 m,"1,850.00 lb / 839 kg",NA,4.00 ft / 1.22 m,FG,NA,1977,NA,12,Boat Co. of Mystic (USA),Bruce Kirby,NA,NA,NA
Fun 23,Swing Keel,Fractional Sloop,23.33 ft / 7.11 m,17.92 ft / 5.46 m,243.00 ft² / 22.58 m²,8.00 ft / 2.44 m,"1,875.00 lb / 850 kg",760.00 lb / 345 kg,5.33 ft / 1.62 m,FG,Iron,1982,NA,NA,NA,Joubert & Nivelt,2.33 ft / 0.71 m,NA,NA
Luders 16,Fin Keel,Fractional Sloop,26.33 ft / 8.03 m,16.33 ft / 4.98 m,224.00 ft² / 20.81 m²,5.75 ft / 1.75 m,"2,950.00 lb / 1,338 kg","1,600.00 lb / 726 kg",4.00 ft / 1.22 m,molded plywood or FG,NA,1933,1979,229,Luders Marine Construction (USA),A. E. Luders,NA,NA,NA
Express 20 (Killing),Fin w/transom hung rudder,Fractional Sloop,20.00 ft / 6.10 m,17.00 ft / 5.18 m,186.00 ft² / 17.28 m²,7.80 ft / 2.38 m,"2,000.00 lb / 907 kg",NA,4.00 ft / 1.22 m,FG,NA,1980,NA,NA,Goman Boats,Steve Killing,NA,NA,NA
Bristol 19 (Sailstar Corinthian 19),Long Keel,Fractional Sloop,19.54 ft / 5.96 m,14.50 ft / 4.42 m,186.00 ft² / 17.28 m²,6.50 ft / 1.98 m,"2,724.00 lb / 1,236 kg","1,100.00 lb / 499 kg",2.75 ft / 0.84 m,FG solid laminate,Lead,1966,1980,700,Sailstar Boats/Bristol Yachts (USA),Carl Alberg,NA,NA,NA
