Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Seawind 1370,Catamaran Twin Keel,Fractional Sloop,44.95 ft / 13.70 m,44.95 ft / 13.70 m,"1,248.61 ft² / 116.00 m²",24.93 ft / 7.60 m,"24,251.00 lb / 11,000 kg",NA,4.27 ft / 1.30 m,Vacuum infusion vinylester resin with carbon fiber,NA,2020,NA,NA,Seawind Catamarans,Francois Perus,NA,NA,NA
Corsair 760,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),24.25 ft / 7.39 m,NA,410.10 ft² / 38.10 m²,17.91 ft / 5.46 m,"2,094.00 lb / 950 kg",NA,5.25 ft / 1.60 m,EGlass/Vacuum formed sandwich,NA,2018,NA,NA,Corsair Marine (AUS),François PERUS,0.98 ft / 0.30 m,NA,NA
Corsair 880,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),28.87 ft / 8.80 m,NA,554.34 ft² / 51.50 m²,22.31 ft / 6.80 m,"3,660.00 lb / 1,660 kg",NA,5.25 ft / 1.60 m,EGlass/Vacuum formed sandwich,NA,2019,NA,NA,Corsair Marine,NA,1.48 ft / 0.45 m,NA,NA
Minicat Guppy,Catamaran Twin Keel,Cat (rotating spar),9.84 ft / 3.00 m,9.84 ft / 3.00 m,41.98 ft² / 3.90 m²,4.92 ft / 1.50 m,64.00 lb / 29 kg,NA,NA,Heytex 5509 (inflatable),NA,2018,NA,NA,MiniCat (CZ),Martin Horak,NA,NA,NA
Minicat 310,Catamaran Twin Keel,Frac. Sloop (Rotating Spar),10.17 ft / 3.10 m,10.17 ft / 3.10 m,55.43 ft² / 5.15 m²,4.59 ft / 1.40 m,77.00 lb / 35 kg,NA,NA,Heytex 5509 (inflatable),NA,2007,NA,NA,MiniCat (CZ),Martin Horak,NA,NA,NA
Minicat 420,Catamaran Twin Keel,Frac. Sloop (Rotating Spar),13.78 ft / 4.20 m,13.78 ft / 4.20 m,104.41 ft² / 9.70 m²,6.89 ft / 2.10 m,97.00 lb / 44 kg,NA,NA,Heytex 5509 (inflatable),NA,2009,NA,NA,Minicat (CZ),Martin Horak,NA,NA,NA
Minicat 460,Catamaran Twin Keel,Frac. Sloop (Rotating Spar),15.09 ft / 4.60 m,15.09 ft / 4.60 m,123.78 ft² / 11.50 m²,7.22 ft / 2.20 m,128.00 lb / 58 kg,NA,NA,Heytex 5509 (inflatable),NA,2014,NA,NA,MiniCat,Martin Horak,NA,NA,NA
X-Cat,Catamaran (no boards/asym.),Frac. Sloop (Rotating Spar),16.40 ft / 5.00 m,16.40 ft / 5.00 m,90.42 ft² / 8.40 m²,7.22 ft / 2.20 m,165.00 lb / 75 kg,NA,NA,EEP Particle foam,NA,2016,NA,NA,Row&Sail GmbH (AUT),Jochum Bierma,NA,NA,NA
Happy Cat Neo,Catamaran Single Cntrboard,Frac. Sloop (Rotating Spar),13.78 ft / 4.20 m,13.78 ft / 4.20 m,96.88 ft² / 9.00 m²,6.73 ft / 2.05 m,130.00 lb / 59 kg,NA,NA,EDPM tire/natural rubber,NA,2016,NA,NA,Grabner (AUT),NA,NA,NA,NA
Happy Cat Hurricane,Catamaran Single Cntrboard,Frac. Sloop (Rotating Spar),16.37 ft / 4.99 m,16.37 ft / 4.99 m,123.78 ft² / 11.50 m²,7.64 ft / 2.33 m,187.00 lb / 85 kg,NA,NA,1100 dtex EDPM tire/natural rubber,NA,2017,NA,NA,Grabner (AUT),NA,NA,NA,NA
Happy Cat Vision,Catamaran Single Cntrboard,Frac. Sloop (Rotating Spar),15.26 ft / 4.65 m,15.26 ft / 4.65 m,123.78 ft² / 11.50 m²,7.22 ft / 2.20 m,150.00 lb / 68 kg,NA,NA,Natural rubber,NA,2011,2014,NA,Grabner,NA,NA,NA,NA
Happy Cat Ultralight,Catamaran Single Cntrboard,Frac. Sloop (Rotating Spar),13.94 ft / 4.25 m,13.94 ft / 4.25 m,96.88 ft² / 9.00 m²,6.56 ft / 2.00 m,108.00 lb / 49 kg,NA,NA,Natural rubber,NA,2006,2015,NA,Grabner (AUT),NA,NA,NA,NA
Great Harbor 26,Lifting Keel,Fractional (7/8) Sloop,26.00 ft / 7.92 m,20.50 ft / 6.25 m,303.00 ft² / 28.15 m²,7.83 ft / 2.39 m,"3,625.00 lb / 1,644 kg","1,494.00 lb / 678 kg",4.75 ft / 1.45 m,FG w/ vinylester resin and PVC foam core,Lead,1996,NA,6,Hank Hinckley Boat Builders,Bill Cook Yacht Design,1.83 ft / 0.56 m,NA,NA
Aragosa 38,Fin with rudder on skeg,Masthead Sloop,38.08 ft / 11.61 m,31.25 ft / 9.53 m,756.00 ft² / 70.23 m²,12.42 ft / 3.79 m,"19,700.00 lb / 8,936 kg","7,000.00 lb / 3,175 kg",6.00 ft / 1.83 m,Steel,NA,1988,NA,NA,Aragosa Yachts (CAN),Ted Brewer,NA,NA,NA
Ay 40  (Aragosa),Fin w/rudder on partial skeg,Masthead Sloop,40.00 ft / 12.19 m,30.00 ft / 9.14 m,762.00 ft² / 70.79 m²,12.75 ft / 3.89 m,"19,200.00 lb / 8,709 kg","6,500.00 lb / 2,948 kg",5.75 ft / 1.75 m,Steel,NA,1988,NA,NA,Aragosa Yachts (CAN),Mark Ellis,NA,NA,NA
Aragosa 35,Fin with rudder on skeg,Masthead Sloop,34.75 ft / 10.59 m,28.50 ft / 8.69 m,631.00 ft² / 58.62 m²,11.25 ft / 3.43 m,"15,250.00 lb / 6,917 kg","5,400.00 lb / 2,449 kg",5.33 ft / 1.62 m,Steel,NA,1989,NA,NA,Aragosa Yachts (CAN),Ted Brewer,NA,NA,NA
Catfisher 32 Ms,Catamaran Twin Keel,Masthead Sloop,32.00 ft / 9.75 m,29.00 ft / 8.84 m,465.00 ft² / 43.20 m²,13.08 ft / 3.99 m,"11,023.00 lb / 5,000 kg",NA,3.00 ft / 0.91 m,GRP,NA,1985,1988,18,Blondecell,Terry Compton,NA,NA,NA
Finn 26,Fin w/spade rudder,Fractional Sloop,26.48 ft / 8.07 m,20.34 ft / 6.20 m,376.74 ft² / 35.00 m²,9.19 ft / 2.80 m,"4,630.00 lb / 2,100 kg","1,984.00 lb / 900 kg",4.59 ft / 1.40 m,Fg,NA,1977,1981,190,MF-Trading (FIN),Eivind Still,NA,NA,NA
Van De Stadt 34,Fin w/spade rudder,Fractional Sloop,33.63 ft / 10.25 m,26.25 ft / 8.00 m,710.42 ft² / 66.00 m²,10.83 ft / 3.30 m,"9,921.00 lb / 4,500 kg","4,409.00 lb / 2,000 kg",5.91 ft / 1.80 m,Aluminum,Lead,1984,NA,NA,Various,E.G. van de Stadt,NA,NA,NA
Sanset 77,Fin w/rudder on partial skeg,Masthead Sloop,26.25 ft / 8.00 m,21.98 ft / 6.70 m,226.04 ft² / 21.00 m²,8.20 ft / 2.50 m,"4,189.00 lb / 1,900 kg","1,592.00 lb / 722 kg",3.94 ft / 1.20 m,NA,NA,1977,1980,25,Schöchl (Sunbeam) (AUT),Anton Miglitsch,NA,NA,NA
Loa 17,Cbrd w/outboard rudder,Fractional Sloop,17.00 ft / 5.18 m,NA,150.00 ft² / 13.94 m²,NA,700.00 lb / 318 kg,100.00 lb / 45 kg,4.50 ft / 1.37 m,FG,Steel centerboard,1961,NA,399,Sidney Company (USA),Sidney Blinder,0.50 ft / 0.15 m,NA,NA
Carina,Fin with rudder on skeg,Masthead Sloop,19.55 ft / 5.96 m,15.65 ft / 4.77 m,173.30 ft² / 16.10 m²,6.92 ft / 2.11 m,"1,874.00 lb / 850 kg",529.00 lb / 240 kg,2.95 ft / 0.90 m,Wood or FG,NA,1962,1980,1500,Marina-Werft (GER),Günther Thomat,NA,NA,NA
Marina,Fin w/rudder on partial skeg,Masthead Sloop,22.90 ft / 6.98 m,20.93 ft / 6.38 m,258.33 ft² / 24.00 m²,7.28 ft / 2.22 m,"2,756.00 lb / 1,250 kg","1,279.00 lb / 580 kg",3.74 ft / 1.14 m,FG,NA,1968,1980,NA,Marina-Werft (GER),Günter Thomat,NA,NA,NA
Drabant 33,Fin with rudder on skeg,Masthead Sloop,32.84 ft / 10.01 m,26.87 ft / 8.19 m,428.40 ft² / 39.80 m²,10.37 ft / 3.16 m,"11,464.00 lb / 5,200 kg","5,181.00 lb / 2,350 kg",5.64 ft / 1.72 m,FG,Iron,1975,NA,NA,A/S Nillings Bådeværft (DEN)/Gesten Glasfiber Bådeværft (DEN),Gert Gerlach,NA,NA,NA
